layer_idx,sketch_dim,theta_elim,elimination_rate_mean,elimination_rate_std,resurrection_rate_mean,resurrection_rate_std,false_elimination_rate_mean,false_elimination_rate_std,top8_overlap_mean,top8_overlap_std,top16_overlap_mean,top16_overlap_std,top32_overlap_mean,top32_overlap_std,rank_correlation_mean,rank_correlation_std,eliminated_count,false_eliminated_count,total_tokens,survivor_count,relevant_count,num_samples
3,8,0.05,0.682058,0.336462,0.317942,0.336462,0.619358,0.35249,0.392361,0.211749,0.488715,0.18468,0.684462,0.117639,0.864064,0.066,3074,1427,4512,1438,2304,72
3,8,0.1,0.682058,0.336462,0.317942,0.336462,0.619358,0.35249,0.392361,0.211749,0.488715,0.18468,0.684462,0.117639,0.864064,0.066,3074,1427,4512,1438,2304,72
3,8,0.15,0.682058,0.336462,0.317942,0.336462,0.619358,0.35249,0.392361,0.211749,0.488715,0.18468,0.684462,0.117639,0.864064,0.066,3074,1427,4512,1438,2304,72
3,8,0.2,0.682058,0.336462,0.317942,0.336462,0.619358,0.35249,0.392361,0.211749,0.488715,0.18468,0.684462,0.117639,0.864064,0.066,3074,1427,4512,1438,2304,72
3,8,0.25,0.682058,0.336462,0.317942,0.336462,0.619358,0.35249,0.392361,0.211749,0.488715,0.18468,0.684462,0.117639,0.864064,0.066,3074,1427,4512,1438,2304,72
3,8,0.3,0.682315,0.336174,0.317685,0.336174,0.619358,0.35249,0.392361,0.211749,0.488715,0.18468,0.684462,0.117639,0.864064,0.066,3075,1427,4512,1437,2304,72
3,8,0.35,0.682315,0.336174,0.317685,0.336174,0.619358,0.35249,0.392361,0.211749,0.488715,0.18468,0.684462,0.117639,0.864064,0.066,3075,1427,4512,1437,2304,72
3,8,0.4,0.682315,0.336174,0.317685,0.336174,0.619358,0.35249,0.392361,0.211749,0.488715,0.18468,0.684462,0.117639,0.864064,0.066,3075,1427,4512,1437,2304,72
3,8,0.45,0.682315,0.336174,0.317685,0.336174,0.619358,0.35249,0.392361,0.211749,0.488715,0.18468,0.684462,0.117639,0.864064,0.066,3075,1427,4512,1437,2304,72
3,8,0.5,0.682511,0.335846,0.317489,0.335846,0.619358,0.35249,0.392361,0.211749,0.488715,0.18468,0.684462,0.117639,0.864064,0.066,3076,1427,4512,1436,2304,72
3,8,0.55,0.682511,0.335846,0.317489,0.335846,0.619358,0.35249,0.392361,0.211749,0.488715,0.18468,0.684462,0.117639,0.864064,0.066,3076,1427,4512,1436,2304,72
3,8,0.6,0.682511,0.335846,0.317489,0.335846,0.619358,0.35249,0.392361,0.211749,0.488715,0.18468,0.684462,0.117639,0.864064,0.066,3076,1427,4512,1436,2304,72
3,8,0.65,0.682511,0.335846,0.317489,0.335846,0.619358,0.35249,0.392361,0.211749,0.488715,0.18468,0.684462,0.117639,0.864064,0.066,3076,1427,4512,1436,2304,72
3,8,0.7,0.682511,0.335846,0.317489,0.335846,0.619358,0.35249,0.392361,0.211749,0.488715,0.18468,0.684462,0.117639,0.864064,0.066,3076,1427,4512,1436,2304,72
3,8,0.75,0.682511,0.335846,0.317489,0.335846,0.619358,0.35249,0.392361,0.211749,0.488715,0.18468,0.684462,0.117639,0.864064,0.066,3076,1427,4512,1436,2304,72
3,8,0.8,0.682511,0.335846,0.317489,0.335846,0.619358,0.35249,0.392361,0.211749,0.488715,0.18468,0.684462,0.117639,0.864064,0.066,3076,1427,4512,1436,2304,72
3,8,0.85,0.682511,0.335846,0.317489,0.335846,0.619358,0.35249,0.392361,0.211749,0.488715,0.18468,0.684462,0.117639,0.864064,0.066,3076,1427,4512,1436,2304,72
3,8,0.9,0.682511,0.335846,0.317489,0.335846,0.619358,0.35249,0.392361,0.211749,0.488715,0.18468,0.684462,0.117639,0.864064,0.066,3076,1427,4512,1436,2304,72
3,8,0.95,0.682511,0.335846,0.317489,0.335846,0.619358,0.35249,0.392361,0.211749,0.488715,0.18468,0.684462,0.117639,0.864064,0.066,3076,1427,4512,1436,2304,72
3,16,0.05,0.780125,0.303034,0.219875,0.303034,0.715712,0.349741,0.491319,0.194685,0.576389,0.152106,0.727431,0.096068,0.89741,0.05419,3510,1649,4512,1002,2304,72
3,16,0.1,0.780125,0.303034,0.219875,0.303034,0.715712,0.349741,0.491319,0.194685,0.576389,0.152106,0.727431,0.096068,0.89741,0.05419,3510,1649,4512,1002,2304,72
