layer_idx,head_idx,sketch_dim,theta_elim,elimination_rate_mean,elimination_rate_std,resurrection_rate_mean,resurrection_rate_std,false_elimination_rate_mean,false_elimination_rate_std,top8_overlap_mean,top8_overlap_std,top16_overlap_mean,top16_overlap_std,top32_overlap_mean,top32_overlap_std,rank_correlation_mean,rank_correlation_std,eliminated_count,false_eliminated_count,total_tokens,survivor_count,relevant_count,num_samples
0,1,32,0.15,0.883313,0.148822,0.116687,0.148822,0.791667,0.256851,0.583333,0.199826,0.666667,0.117851,0.802083,0.046585,0.9527,0.019018,332,152,376,44,192,6
0,1,32,0.2,0.883313,0.148822,0.116687,0.148822,0.791667,0.256851,0.583333,0.199826,0.666667,0.117851,0.802083,0.046585,0.9527,0.019018,332,152,376,44,192,6
0,1,32,0.25,0.883313,0.148822,0.116687,0.148822,0.791667,0.256851,0.583333,0.199826,0.666667,0.117851,0.802083,0.046585,0.9527,0.019018,332,152,376,44,192,6
0,1,32,0.3,0.885661,0.146291,0.114339,0.146291,0.796875,0.251137,0.583333,0.199826,0.666667,0.117851,0.802083,0.046585,0.9527,0.019018,333,153,376,43,192,6
0,1,32,0.35,0.885661,0.146291,0.114339,0.146291,0.796875,0.251137,0.583333,0.199826,0.666667,0.117851,0.802083,0.046585,0.9527,0.019018,333,153,376,43,192,6
0,1,32,0.4,0.885661,0.146291,0.114339,0.146291,0.796875,0.251137,0.583333,0.199826,0.666667,0.117851,0.802083,0.046585,0.9527,0.019018,333,153,376,43,192,6
0,1,32,0.45,0.888691,0.141195,0.111309,0.141195,0.802083,0.242509,0.583333,0.199826,0.666667,0.117851,0.802083,0.046585,0.9527,0.019018,334,154,376,42,192,6
0,1,32,0.5,0.888691,0.141195,0.111309,0.141195,0.802083,0.242509,0.583333,0.199826,0.666667,0.117851,0.802083,0.046585,0.9527,0.019018,334,154,376,42,192,6
0,1,32,0.55,0.888691,0.141195,0.111309,0.141195,0.802083,0.242509,0.583333,0.199826,0.666667,0.117851,0.802083,0.046585,0.9527,0.019018,334,154,376,42,192,6
0,1,32,0.6,0.891038,0.138671,0.108962,0.138671,0.802083,0.242509,0.583333,0.199826,0.666667,0.117851,0.802083,0.046585,0.9527,0.019018,335,154,376,41,192,6
0,1,32,0.65,0.891038,0.138671,0.108962,0.138671,0.802083,0.242509,0.583333,0.199826,0.666667,0.117851,0.802083,0.046585,0.9527,0.019018,335,154,376,41,192,6
0,1,32,0.7,0.891038,0.138671,0.108962,0.138671,0.802083,0.242509,0.583333,0.199826,0.666667,0.117851,0.802083,0.046585,0.9527,0.019018,335,154,376,41,192,6
0,1,32,0.75,0.891038,0.138671,0.108962,0.138671,0.802083,0.242509,0.583333,0.199826,0.666667,0.117851,0.802083,0.046585,0.9527,0.019018,335,154,376,41,192,6
0,1,32,0.8,0.891038,0.138671,0.108962,0.138671,0.802083,0.242509,0.583333,0.199826,0.666667,0.117851,0.802083,0.046585,0.9527,0.019018,335,154,376,41,192,6
0,1,32,0.85,0.891038,0.138671,0.108962,0.138671,0.802083,0.242509,0.583333,0.199826,0.666667,0.117851,0.802083,0.046585,0.9527,0.019018,335,154,376,41,192,6
0,1,32,0.9,0.891038,0.138671,0.108962,0.138671,0.802083,0.242509,0.583333,0.199826,0.666667,0.117851,0.802083,0.046585,0.9527,0.019018,335,154,376,41,192,6
0,1,32,0.95,0.894069,0.133575,0.105931,0.133575,0.807292,0.234143,0.583333,0.199826,0.666667,0.117851,0.802083,0.046585,0.9527,0.019018,336,155,376,40,192,6
0,1,64,0.05,0.879279,0.182983,0.120721,0.182983,0.8125,0.269427,0.75,0.204124,0.739583,0.121924,0.869792,0.060962,0.973149,0.015392,336,156,376,40,192,6
0,1,64,0.1,0.879279,0.182983,0.120721,0.182983,0.8125,0.269427,0.75,0.204124,0.739583,0.121924,0.869792,0.060962,0.973149,0.015392,336,156,376,40,192,6
0,1,64,0.15,0.882309,0.176565,0.117691,0.176565,0.8125,0.269427,0.75,0.204124,0.739583,0.121924,0.869792,0.060962,0.973149,0.015392,337,156,376,39,192,6
0,1,64,0.2,0.88534,0.170174,0.11466,0.170174,0.817708,0.258587,0.75,0.204124,0.739583,0.121924,0.869792,0.060962,0.973149,0.015392,338,157,376,38,192,6
